City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
219,Constantine,DZ,36.365,6.6147,51.8,93,75,2.3,broken clouds
220,Qaanaaq,GL,77.484,-69.3632,18.18,92,100,10.13,overcast clouds
221,Liman,UA,48.9884,37.8023,45.88,91,59,5.86,broken clouds
222,Longyearbyen,SJ,78.2186,15.6401,17.6,62,75,4.61,broken clouds
223,Tuatapere,NZ,-46.1333,167.6833,53.01,88,100,10.0,overcast clouds
224,Sitka,US,57.0531,-135.33,48.2,57,75,1.81,broken clouds
225,Kamien Pomorski,PL,53.9685,14.7726,37.4,87,0,8.05,clear sky
226,Rio Grande,BR,-32.035,-52.0986,66.0,91,3,16.26,clear sky
227,Scarborough,GB,54.2797,-0.4044,42.01,48,96,1.99,overcast clouds
228,Basco,PH,20.4487,121.9702,78.21,81,18,14.67,few clouds
229,Sikonge,TZ,-5.6333,32.7667,61.38,91,10,3.11,clear sky
230,San Fernando,PH,15.0286,120.6898,89.6,62,75,4.61,broken clouds
231,Bonga,ET,7.2833,36.2333,60.73,98,100,1.19,light rain
232,Mildura,AU,-34.2,142.15,66.0,55,90,8.05,overcast clouds
233,Mansa,IN,29.9833,75.3833,73.98,44,98,21.27,overcast clouds
234,Lumeje,AO,-11.55,20.7833,63.82,75,41,4.56,scattered clouds
235,Kismayo,SO,-0.3582,42.5454,79.95,84,100,8.86,light rain
236,Felipe Carrillo Puerto,MX,19.5833,-88.05,73.13,84,4,4.18,clear sky
237,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,72,40,35.68,scattered clouds
238,Hanting,CN,36.7708,119.2108,53.47,88,100,8.37,overcast clouds
239,Birao,CF,10.2849,22.7882,79.27,35,16,0.81,few clouds
240,Tabuk,PH,17.4189,121.4443,88.07,50,62,4.29,broken clouds
241,Bayanday,RU,53.0661,105.5139,34.68,38,100,6.89,overcast clouds
242,Hobyo,SO,5.3505,48.5268,83.61,67,100,8.19,overcast clouds
243,Kisangani,CD,0.5167,25.2,69.19,96,100,2.26,overcast clouds
244,Mar Del Plata,AR,-38.0023,-57.5575,66.99,94,99,4.61,overcast clouds
245,Alyangula,AU,-13.8483,136.4192,86.0,62,90,9.22,overcast clouds
246,Yola,NG,9.2,12.4833,81.39,58,72,2.66,broken clouds
247,Linxia,CN,35.6003,103.2064,62.38,57,82,5.06,broken clouds
248,Radomsko,PL,51.0671,19.4448,34.0,95,15,9.71,few clouds
249,Banda Aceh,ID,5.5577,95.3222,84.56,68,99,11.14,overcast clouds
250,Ngunguru,NZ,-35.6167,174.5,71.01,80,100,5.01,overcast clouds
251,Benguela,AO,-12.5763,13.4055,79.79,81,100,3.89,overcast clouds
252,Haines Junction,CA,60.7522,-137.5108,50.0,27,0,5.75,clear sky
253,Jalu,LY,29.0331,21.5482,68.0,23,8,11.77,clear sky
254,Lebu,CL,-37.6167,-73.65,50.38,77,48,3.44,scattered clouds
255,Le Vauclin,MQ,14.5452,-60.8388,78.8,73,0,8.05,clear sky
256,Nome,US,64.5011,-165.4064,44.6,49,1,4.61,clear sky
257,Chapais,CA,49.7834,-74.8492,28.4,59,90,13.8,overcast clouds
258,Zhigalovo,RU,54.8097,105.1578,37.81,45,10,2.46,clear sky
259,Chenghai,CN,23.4632,116.768,82.4,61,0,6.71,clear sky
260,Kapchorwa,UG,1.3965,34.4509,57.31,92,100,1.52,light rain
261,Ulladulla,AU,-35.35,150.4667,68.0,32,0,8.05,clear sky
262,Shepsi,RU,44.0361,39.1489,49.86,78,6,4.92,clear sky
263,Airai,TL,-8.9266,125.4092,76.05,47,29,2.08,scattered clouds
264,Halifax,CA,44.6453,-63.5724,36.0,64,40,20.71,scattered clouds
265,Vardo,NO,70.3705,31.1107,32.0,86,75,5.75,broken clouds
266,Sunbury,AU,-37.5833,144.7333,60.01,62,75,16.11,broken clouds
267,Moron,AR,-34.6534,-58.6198,71.01,85,93,4.0,overcast clouds
268,Langham,CA,52.3668,-106.9679,30.0,43,20,11.5,few clouds
269,Havelock,US,34.8791,-76.9013,44.6,81,1,4.61,clear sky
270,Vung Tau,VN,10.346,107.0843,78.58,84,99,15.46,overcast clouds
271,Acajutla,SV,13.5928,-89.8275,75.0,85,48,3.0,scattered clouds
272,Saint-Augustin,CA,51.226,-58.6502,38.93,97,100,13.44,overcast clouds
273,Fukue,JP,32.6881,128.8419,69.8,68,0,9.22,clear sky
274,Safford,US,32.834,-109.7076,69.8,12,1,14.97,clear sky
275,Chifeng,CN,42.2683,118.9636,56.73,60,100,4.12,overcast clouds
276,Copiapo,CL,-27.3667,-70.3333,59.0,82,90,9.22,overcast clouds
277,Lopsmarka,NO,67.3134,14.4493,35.6,64,40,11.5,light snow
278,Yaan,NG,7.3833,8.5667,80.26,77,100,8.86,overcast clouds
279,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,77,75,29.84,broken clouds
280,Cidreira,BR,-30.1811,-50.2056,69.04,76,8,16.69,clear sky
281,Karangampel,ID,-6.4622,108.4519,84.58,61,17,1.21,few clouds
282,Njeru,UG,0.4186,33.1731,64.04,95,100,1.34,light rain
283,Oktyabrskiy,RU,54.4815,53.471,39.04,98,100,3.24,overcast clouds
284,Keetmanshoop,NA,-26.5833,18.1333,64.4,34,0,4.61,clear sky
285,Avera,US,33.194,-82.5271,46.4,61,1,3.78,clear sky
286,College,US,64.8569,-147.8028,51.01,40,1,13.8,clear sky
287,Guaymas,MX,27.9333,-110.9,78.8,29,1,5.75,clear sky
